Código Ámbito,Ámbito,Código área (M49),Área,Código Elemento,Elemento,Código Producto (CPC),Producto,Código año,Año,Unidad,Valor,Símbolo,Descripción del Símbolo
"QCL,""Cultivos y productos de ganadería"",""032"",""Argentina"",""5312"",""Área cosechada"",""01450"",""Aceitunas, olivas"",""2010"",""2010"",""ha"",""126400"",""E"",""Valor estimado"""
"QCL,""Cultivos y productos de ganadería"",""032"",""Argentina"",""5312"",""Área cosechada"",""01450"",""Aceitunas, olivas"",""2011"",""2011"",""ha"",""88700"",""E"",""Valor estimado"""
"QCL,""Cultivos y productos de ganadería"",""032"",""Argentina"",""5312"",""Área cosechada"",""01450"",""Aceitunas, olivas"",""2012"",""2012"",""ha"",""128900"",""E"",""Valor estimado"""
"QCL,""Cultivos y productos de ganadería"",""032"",""Argentina"",""5312"",""Área cosechada"",""01450"",""Aceitunas, olivas"",""2013"",""2013"",""ha"",""77400"",""E"",""Valor estimado"""
"QCL,""Cultivos y productos de ganadería"",""032"",""Argentina"",""5312"",""Área cosechada"",""01450"",""Aceitunas, olivas"",""2014"",""2014"",""ha"",""122410"",""I"",""Valor imputado"""
"QCL,""Cultivos y productos de ganadería"",""032"",""Argentina"",""5312"",""Área cosechada"",""01450"",""Aceitunas, olivas"",""2015"",""2015"",""ha"",""118548"",""I"",""Valor imputado"""
"QCL,""Cultivos y productos de ganadería"",""032"",""Argentina"",""5312"",""Área cosechada"",""01450"",""Aceitunas, olivas"",""2016"",""2016"",""ha"",""87295"",""I"",""Valor imputado"""
"QCL,""Cultivos y productos de ganadería"",""032"",""Argentina"",""5312"",""Área cosechada"",""01450"",""Aceitunas, olivas"",""2017"",""2017"",""ha"",""141571"",""I"",""Valor imputado"""
"QCL,""Cultivos y productos de ganadería"",""032"",""Argentina"",""5312"",""Área cosechada"",""01450"",""Aceitunas, olivas"",""2018"",""2018"",""ha"",""108537"",""I"",""Valor imputado"""
"QCL,""Cultivos y productos de ganadería"",""032"",""Argentina"",""5312"",""Área cosechada"",""01450"",""Aceitunas, olivas"",""2019"",""2019"",""ha"",""115328"",""I"",""Valor imputado"""
"QCL,""Cultivos y productos de ganadería"",""032"",""Argentina"",""5312"",""Área cosechada"",""01450"",""Aceitunas, olivas"",""2020"",""2020"",""ha"",""115879"",""I"",""Valor imputado"""
"QCL,""Cultivos y productos de ganadería"",""032"",""Argentina"",""5312"",""Área cosechada"",""01450"",""Aceitunas, olivas"",""2021"",""2021"",""ha"",""123703"",""I"",""Valor imputado"""
"QCL,""Cultivos y productos de ganadería"",""032"",""Argentina"",""5419"",""Rendimiento"",""01450"",""Aceitunas, olivas"",""2010"",""2010"",""100 g/ha"",""27994"",""E"",""Valor estimado"""
